parent_document_id,document_id,HaveSeenImages,accumulated_accuracy,all_accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,failed_audio,failed_images,failed_video,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timeout,timepassed_mins,timestamp,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
6307f3c967020d1202332b77,0NRTo3aIj94mSNGFiohy,Yes,0.9057971014492754,0.8535353535353535,,,,2.3,r,True,,,,f,F,3,,,,,768,6307f3c967020d1202332b77,1 (329).jpg,0.0-18.0-1.0-0.29,0,True,,1,False,,False,False,,False,False,,0,0,3,1,,,1,,,,1,f,,1033,68177c12b166747e3416c165,images/1 (329).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,138,1967979,,32.81,2025-05-04 15:25:32.154000+00:00,903,image-keyboard-response,,,,final Foil,,,,1366
6307f3c967020d1202332b77,0PHuz3dGHkNEAk60yGt9,Yes,,0.8535353535353535,False,,,2.3,r,,,,,,T_nontarget,3,,,,,768,6307f3c967020d1202332b77,1 (2271).jpg,0.0-13.0-2.0-0.9,0,True,True,1,,True,True,False,False,False,False,9,9,0,7,0,,,1,,,,,,,,68177c12b166747e3416c165,images/1 (2271).jpg,A,A,,10,10,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initial_study,0,0,0,343,1465760,,24.44,2025-05-04 15:25:32.154000+00:00,624,image-keyboard-response,1,0,0,"studied only, not in trial",,,,1366
6307f3c967020d1202332b77,0S2Z3KlKFmRG1eCPRzlB,Yes,,0.8535353535353535,,,,2.3,r,,,,,,,3,,,,,768,6307f3c967020d1202332b77,,0.0-10.0-0.0-0.0,0,,,1,,,,,,,,,,,,,,,,,,,,enter,,6460,68177c12b166747e3416c165,"
    <p style='text-align: justify;color: black;background: white;font: caption-;''>
        Press the 'enter' key to see the next list of pictures. </p>
    ",,,,,,,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,,,,,,989125,,16.49,2025-05-04 15:25:22.473000+00:00,385,html-keyboard-response,,,,,,,,1366
6307f3c967020d1202332b77,0T0J6fDr98zXHOmRGnMn,Yes,0.911764705882353,0.8535353535353535,,,,2.3,r,True,,,,j,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (486).jpg,0.0-17.0-1.0-0.7,0,True,,1,True,,True,False,,True,False,,1,0,2,0,,,,,,,1,j,,906,68177c12b166747e3416c165,images/1 (486).jpg,,B,,,16,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,16,0,68,1896484,,31.62,2025-05-04 15:25:32.154000+00:00,833,image-keyboard-response,,,,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,0VR1102eZU2Qmrl3H7eO,Yes,0.9012345679012346,0.8535353535353535,,,,2.3,r,True,,,,f,F,3,,,,,768,6307f3c967020d1202332b77,1 (2119).jpg,0.0-19.0-1.0-0.5,0,True,,1,False,,False,False,,False,False,,0,0,4,0,,,1,,,,1,f,,1045,68177c12b166747e3416c165,images/1 (2119).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,162,1996256,,33.28,2025-05-04 15:25:32.154000+00:00,927,image-keyboard-response,,,,final Foil,,,,1366
6307f3c967020d1202332b77,0eqPhTFAy1SVwFZclOun,Yes,0.8828828828828827,0.8535353535353535,,,,2.3,r,True,,,,f,F,3,,,,,768,6307f3c967020d1202332b77,1 (1480).jpg,0.0-22.0-1.0-0.32,0,True,,1,False,,False,False,,False,False,,0,0,7,0,,,1,,,,1,f,,1053,68177c12b166747e3416c165,images/1 (1480).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,333,2217534,,36.97,2025-05-04 15:25:41.018000+00:00,1098,image-keyboard-response,,,,final Foil,,,,1366
6307f3c967020d1202332b77,0lnBhu2aAuIFlGegKnPV,Yes,,0.8535353535353535,False,,,2.3,r,,,,,,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (747).jpg,0.0-7.0-2.0-0.12,0,False,True,1,,True,True,False,True,True,False,3,3,0,,0,,,1,,,,,,,,68177c12b166747e3416c165,images/1 (747).jpg,B,B,,13,13,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initial_study,28,28,0,0,584317,,9.75,2025-05-04 15:25:22.473000+00:00,171,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,0pejUAw4NXVtZoySwisk,Yes,0.872340425531915,0.8535353535353535,,,,2.3,r,True,,,,j,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (2323).jpg,0.0-16.0-1.0-0.46,0,True,,1,True,,True,False,,True,False,,4,0,1,0,,,,,,,1,j,,964,68177c12b166747e3416c165,images/1 (2323).jpg,,B,,,5,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,17,0,47,1873589,,31.23,2025-05-04 15:25:32.154000+00:00,812,image-keyboard-response,,,,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,0rir2PEivulC5pLO0IXT,Yes,0.9029850746268657,0.8535353535353535,,,,2.3,r,True,,,,j,T_nontarget,3,,,,,768,6307f3c967020d1202332b77,1 (202).jpg,0.0-18.0-1.0-0.25,0,True,,1,True,,True,False,,False,False,,8,0,3,0,,,,,,,1,j,,943,68177c12b166747e3416c165,images/1 (202).jpg,,A,,,8,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,134,1963822,,32.74,2025-05-04 15:25:32.154000+00:00,899,image-keyboard-response,,,,"studied only, not in trial",,,,1366
6307f3c967020d1202332b77,0roLzwvnqRPwUCLddYlb,Yes,,0.8535353535353535,,,,2.3,r,,,,,,,3,,,,,768,6307f3c967020d1202332b77,,0.0-11.0-3.0-0.0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,68177c12b166747e3416c165,Summing up the digits as they appear,,,,,,,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,prompt,,,,,1204473,,20.08,2025-05-04 15:25:22.473000+00:00,493,html-keyboard-response,,,,,,,,1366
