parent_document_id,document_id,HaveSeenImages,accumulated_accuracy,all_accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,failed_audio,failed_images,failed_video,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timeout,timepassed_mins,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
100896,04hHCeEuuvY6VgcKFQPx,No,0,0,False,,,2,r,False,False,,,j,T_target,3,,,,,1728,100896,1 (1895).jpg,0.0-6.0-10.0-0.27,0,True,True,3,False,True,True,False,True,True,False,2,2,False,,0,,,1,,,,0,,,,,images/1 (1895).jpg,B,B,,21,21,0,,100896,,,initialTest_response,28,28,0,277,10698,,0.18,154,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
100896,0KwAakanpPTLGHeggZig,No,,0,False,,,2,r,,,,,,T_nontarget,3,,,,,1728,100896,1 (889).jpg,0.0-6.0-2.0-0.21,0,True,True,3,,True,True,False,False,False,False,2,2,0,8,0,,,1,,,,,,,,,images/1 (889).jpg,A,A,,22,22,0,,100896,,,initial_study,0,0,0,390,9805,,0.17,104,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
100896,0Sg6VIgPcLNQ17as0DPu,No,,0,True,,,2,r,,,,,,T_nontarget,3,,,,,1728,100896,1 (1090).jpg,0.0-8.0-2.0-0.21,0,False,True,3,,True,True,False,False,False,True,4,4,5,,0,,,1,,,,,,,,,images/1 (1090).jpg,Cn+1,Cn,,22,22,0,,100896,,,initial_study,0,0,11,0,12240,,0.21,256,image-keyboard-response,1,0,1,"studied only, in next trial",,,,2562
100896,0XsVu5tzzxl7ghBYiXml,No,0,0,False,,,2,r,False,False,,,j,T_target,3,,,,,1728,100896,1 (878).jpg,0.0-5.0-10.0-0.26,0,False,True,3,False,True,True,False,True,True,False,1,1,False,,0,,,1,,,,0,,,,,images/1 (878).jpg,B,B,,1,1,0,,100896,,,initialTest_response,27,27,0,0,9442,,0.16,77,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
100896,0qsHbPWotJGxm7A1yzbB,No,,0,,,,2,r,,,,,,,3,,,,,1728,100896,,0.0-7.0-8.0-0.0,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,Now judge if you have seen this pictures from the list you JUST studied before the digits,,,,,,,,100896,,,prompt,,,,,11283,,0.19,201,html-keyboard-response,,,,,,,,2562
100896,17zVyPkZzFfDfwFGyl1N,No,,0,False,,,2,r,,,,,,T_target,3,,,,,1728,100896,1 (1426).jpg,0.0-6.0-2.0-0.16,0,True,True,3,,True,True,False,True,True,False,2,2,0,6,0,,,1,,,,,,,,,images/1 (1426).jpg,B,B,,17,17,0,,100896,,,initial_study,16,16,0,269,9747,,0.17,99,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
100896,1EDqAbgXp05aA95Qhia4,No,,0,,,,2,r,,,,,,,3,,,,,1728,100896,,0.0-5.0-5.0-0.3,0,,,3,,,,,,,,1,,,,,,,,,4,,,,,,,4,,,4,,,,,100896,,49,digitPresentation,,,,,8757,,0.15,42,html-keyboard-response,,,,,,,,2562
100896,1Yu0sxcskTS8NlksEYjz,No,,0,False,,,2,r,,,,,,T_target,3,,,,,1728,100896,1 (1915).jpg,0.0-7.0-2.0-0.13,0,False,True,3,,True,True,False,True,True,False,3,3,0,,0,,,1,,,,,,,,,images/1 (1915).jpg,B,B,,14,14,0,,100896,,,initial_study,30,30,0,0,10941,,0.19,172,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
100896,1j0OJbns2MkGX3nfpMtZ,No,,0,,,,2,r,,,,,,,3,,,,,1728,100896,,0.0-7.0-5.0-0.3,0,,,3,,,,,,,,3,,,,,,,,,4,,,,,,,5,,,5,,,,,100896,,57,digitPresentation,,,,,11202,,0.19,194,html-keyboard-response,,,,,,,,2562
100896,1ybw1ZbjEa7QfRlRUMIz,No,0,0,False,,,2,r,False,False,,,f,T_foil,3,,,,,1728,100896,1 (153).jpg,0.0-7.0-10.0-0.1,0,True,True,3,False,False,False,False,True,True,False,3,3,False,2,0,,,1,,,,0,,,,,images/1 (153).jpg,Fn+1,Fn,,0,0,0,,100896,,,initialTest_response,2,2,0,103,11329,,0.19,204,image-keyboard-response,0,1,0,"tested only, not in next trial",,,,2562
