parent_document_id,document_id,HaveSeenImages,accumulated_accuracy,all_accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timepassed_mins,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
dte,00BVXXnxVPOVXPFRPwSz,,0,,,,,2,r,False,,,,f,F,3,,1306,dte,1 (2072).jpg,0.0-23.0-1.0-0.5,1,True,,0,False,,False,False,,False,False,,0,0,8,0,,,1,,,,0,,,,,images/1 (2072).jpg,,FF,,,0,0,,dte,,,finalTest,,0,0,354,28883,0.48,1119,image-keyboard-response,,,,final Foil,,,,885
dte,01tVdYQd4d66kSaxQzaw,,0,,,,,2,r,False,,,,j,T_nontarget,3,,1306,dte,1 (924).jpg,0.0-16.0-1.0-0.41,1,True,,0,True,,True,False,,False,False,,5,0,1,0,,,,,,,0,,,,,images/1 (924).jpg,,A,,,22,0,,dte,,,finalTest,,0,0,42,25087,0.42,807,image-keyboard-response,,,,"studied only, not in trial",,,,885
dte,02XwtOXOtmDqRdh741Y8,,0,,,,,2,r,False,False,,,j,T_foil,3,,1306,dte,1 (915).jpg,0.0-16.0-1.0-0.14,1,True,,0,True,,False,False,,True,False,,10,0,1,10,,,,,,,0,,,,,images/1 (915).jpg,,Fnn,,,0,0,,dte,,,finalTest,,4,0,15,24771,0.41,780,image-keyboard-response,,,,"tested only, in next trial",,,,885
dte,05IUgFs1Stk5crTyrzyX,,0,,,,,2,r,False,,,,j,T_target,3,,1306,dte,1 (1675).jpg,0.0-16.0-1.0-0.47,1,True,,0,True,,True,False,,True,False,,10,0,1,0,,,,,,,0,,,,,images/1 (1675).jpg,,B,,,30,0,,dte,,,finalTest,,17,0,48,25174,0.42,813,image-keyboard-response,,,,"current target, not in next trial",,,,885
dte,0DrQMZIMhVVOcK1BXR7q,,,,False,,,2,r,,,,,,T_nontarget,3,,1306,dte,1 (1408).jpg,0.0-8.0-2.0-0.23,1,True,True,0,,True,True,False,False,False,False,4,4,0,4,0,,,1,,,,,,,,,images/1 (1408).jpg,A,A,,24,24,0,,dte,,,initial_study,0,0,0,192,16296,0.27,258,image-keyboard-response,1,0,0,"studied only, not in trial",,,,885
dte,0F9VKlZezHLIbCvjyyIg,,,,,,,2,r,,,,,,,3,,1306,dte,,0.0-10.0-7.0-0.0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,<p background:white>INCORRECT!</p>,,,,,,,,dte,,,promptfeedback,,,,,18913,0.32,428,html-keyboard-response,,,,,,,,885
dte,0NvKf9SMVqZ8IaDkUfxa,,,,,,,2,r,,,,,,,3,,1306,dte,,0.0-6.0-5.0-0.7,1,,,0,,,,,,,,2,,,,,,,,,8,,,,,,,9,,,9,,,,,dte,,63,digitPresentation,,,,,14076,0.24,122,html-keyboard-response,,,,,,,,885
dte,0OJlnvLjLjhT6TaFpwqR,,,,,,,2,r,,,,,,,3,,1306,dte,,0.0-7.0-0.0-0.0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,"
    <p style='text-align: justify;color: black;background: white;font: caption-;''>
        Press the 'enter' key to see the next list of pictures. </p>
    ",,,,,,,,dte,,,,,,,,14797,0.25,157,html-keyboard-response,,,,,,,,885
dte,0QfTbVoHwnVpdSg32W1u,,,,False,,,2,r,,,,,,T_nontarget,3,,1306,dte,1 (1253).jpg,0.0-5.0-2.0-0.22,1,True,True,0,,True,True,False,False,False,False,1,1,0,3,0,,,1,,,,,,,,,images/1 (1253).jpg,A,A,,23,23,0,,dte,,,initial_study,0,0,0,117,12573,0.21,29,image-keyboard-response,1,0,0,"studied only, not in trial",,,,1395
dte,0amrzfsHPncKQIs441sD,,0,,False,,,2,r,False,False,,,j,T_target,3,,1306,dte,1 (2125).jpg,0.0-11.0-10.0-0.9,1,True,True,0,False,True,True,False,True,True,False,7,7,False,,0,,,1,,,,0,,,,,images/1 (2125).jpg,B,B,,8,8,0,,dte,,,initialTest_response,10,10,0,282,20365,0.34,516,image-keyboard-response,1,1,0,"current target, not in next trial",,,,885
