parent_document_id,document_id,accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timepassed_mins,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
DEBUGV2,08ZkLA5WoD0KIefFUcFP,,False,,,2,r,,,,,,T_target,3,,1728,DEBUGV2,1 (1716).jpg,0.0-7.0-2.0-0.3,0,True,True,0,,True,True,False,True,True,False,3,3,0,7,0,,,1,,,,,,,,,images/1 (1716).jpg,B,B,,4,4,0,,DEBUGV2,,,initial_study,17,17,0,305,23468,0.40,162,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
DEBUGV2,0FRxK9GxPN93KjZQOR6B,,False,,,2,r,,,,,,T_target,3,,1728,DEBUGV2,1 (352).jpg,0.0-14.0-2.0-0.23,0,False,True,0,,True,True,False,True,True,False,10,10,0,,0,,,1,,,,,,,,,images/1 (352).jpg,B,B,,24,24,0,,DEBUGV2,,,initial_study,17,17,0,0,32420,0.55,714,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
DEBUGV2,0QS50keWES8G8VAqwrIT,,False,,,2,r,,,,,,T_target,3,,1728,DEBUGV2,1 (752).jpg,0.0-12.0-2.0-0.29,0,False,True,0,,True,True,False,True,True,False,8,8,0,,0,,,1,,,,,,,,,images/1 (752).jpg,B,B,,30,30,0,,DEBUGV2,,,initial_study,11,11,0,0,29992,0.51,568,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
DEBUGV2,0YuqJx9q5OnRp6DU2wuW,0,False,,,2,r,False,False,,,f,T_foil,3,,1728,DEBUGV2,1 (1963).jpg,0.0-12.0-10.0-0.3,0,True,True,0,False,False,False,False,True,True,False,8,8,False,4,0,,,1,,,,0,,,,,images/1 (1963).jpg,Fn+1,Fn,,0,0,0,,DEBUGV2,,,initialTest_response,4,4,0,165,30239,0.51,586,image-keyboard-response,0,1,0,"tested only, not in next trial",,,,2562
DEBUGV2,0uAd2GDH4HKs1rx9EcmR,,False,,,2,r,,,,,,T_target,3,,1728,DEBUGV2,1 (1367).jpg,0.0-14.0-2.0-0.18,0,True,True,0,,True,True,False,True,True,False,10,10,0,6,0,,,1,,,,,,,,,images/1 (1367).jpg,B,B,,19,19,0,,DEBUGV2,,,initial_study,2,2,0,258,32366,0.55,709,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
DEBUGV2,0wliIq76Um5hKrBeEUDU,,,,,2,r,False,,,45,,,3,,1728,DEBUGV2,,0.0-8.0-6.0-0.0-0.0,0,,,0,,,,,,,,,,,,,,,,,,,,"{'answer': 'Skipped after 0.01 seconds', 'question': ""Please enter the sum using your number keyboard <p>Press 'enter' to continue.</p>""}",Please enter the sum using your number keyboard <p>Press 'enter' to continue.</p>,,,,,,,,,,,DEBUGV2,,,answer_counting,,,,,25149,0.43,275,survey-text,,,,,,,,2562
DEBUGV2,0x3JHfH4kNarTc8T0XOa,,True,,,2,r,,,,,,T_target,3,,1728,DEBUGV2,1 (1739).jpg,0.0-14.0-2.0-0.24,0,True,True,0,,True,True,False,True,True,False,10,10,0,4,0,,,1,,,,,,,,,images/1 (1739).jpg,Dn+1,Dn,,25,25,0,,DEBUGV2,,,initial_study,24,24,0,180,32432,0.55,715,image-keyboard-response,1,1,1,"current target, in next trial",,,,2562
DEBUGV2,0z1OsheENJZ0dime3rsZ,0,False,,,2,r,False,False,,,j,T_target,3,,1728,DEBUGV2,1 (577).jpg,0.0-9.0-10.0-0.11,0,False,True,0,False,True,True,False,True,True,False,5,5,False,,0,,,1,,,,0,,,,,images/1 (577).jpg,B,B,,21,21,0,,DEBUGV2,,,initialTest_response,12,12,0,0,26672,0.46,366,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
DEBUGV2,0ziALrMu1KKaLFpszADN,,,,,2,r,False,,,49,,,3,,1728,DEBUGV2,,0.0-6.0-6.0-0.0-0.0,0,,,0,,,,,,,,,,,,,,,,,,,,"{'answer': 'Skipped after 0.01 seconds', 'question': ""Please enter the sum using your number keyboard <p>Press 'enter' to continue.</p>""}",Please enter the sum using your number keyboard <p>Press 'enter' to continue.</p>,,,,,,,,,,,DEBUGV2,,,answer_counting,,,,,22695,0.39,123,survey-text,,,,,,,,2562
DEBUGV2,1060b2Z7TvGQzIhkautz,0,False,,,2,r,False,False,,,j,T_target,3,,1728,DEBUGV2,1 (1418).jpg,0.0-13.0-10.0-0.0,0,True,True,0,False,True,True,False,True,True,False,9,9,False,,0,,,1,,,,0,,,,,images/1 (1418).jpg,B,B,,11,11,0,,DEBUGV2,,,initialTest_response,1,1,0,23,31414,0.53,659,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
