parent_document_id,document_id,HaveSeenImages,accumulated_accuracy,all_accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timepassed_mins,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
100896,00f7ESfPuJyuyA6vFVTE,,,,False,,,2,r,,,,,,T_nontarget,3,,1728,100896,1 (1560).jpg,0.0-12.0-2.0-0.16,0,True,True,0,,True,True,False,False,False,False,8,8,0,8,0,,,1,,,,,,,,,images/1 (1560).jpg,A,A,,17,17,0,,100896,,,initial_study,0,0,0,355,17054,0.29,555,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
100896,00qmNlmRHrBmd5FCoQat,,0,,False,,,2,r,False,False,,,j,T_target,3,,1728,100896,1 (2307).jpg,0.0-13.0-10.0-0.6,0,True,True,0,False,True,True,False,True,True,False,9,9,False,,0,,,1,,,,0,,,,,images/1 (2307).jpg,B,B,,12,12,0,,100896,,,initialTest_response,7,7,0,467,18734,0.32,665,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
100896,03SaKEAlLxBdjZh6HQSq,,0,,,,,2,r,False,,,,f,F,3,,1728,100896,1 (2257).jpg,0.0-25.0-1.0-0.5,0,True,,0,False,,False,False,,False,False,,0,0,10,9,,,1,,,,0,,,,,images/1 (2257).jpg,,FF,,,0,0,,100896,,,finalTest,,0,0,450,25863,0.44,1215,image-keyboard-response,,,,final Foil,,,,2562
100896,07aZMOuDCsf6rBNIcbOR,,0,,True,,,2,r,False,False,False,,f,T_foil,3,,1728,100896,1 (1851).jpg,0.0-7.0-10.0-0.13,0,True,False,0,False,False,False,False,True,False,True,3,2,3,,0,,,2,,,,0,,,,,images/1 (1851).jpg,Fnn,Fnn,,0,0,0,,100896,,,initialTest_response,14,0,14,175,11596,0.20,216,image-keyboard-response,0,1,1,"tested only, in next trial, from last trial",,,,2562
100896,0DFAoL7C775oYmaTR2J7,,0,,,,,2,r,False,,,,j,T_nontarget,3,,1728,100896,1 (383).jpg,0.0-22.0-1.0-0.12,0,True,,0,True,,True,False,,False,False,,1,0,7,0,,,,,,,0,,,,,images/1 (383).jpg,,A,,,19,0,,100896,,,finalTest,,0,0,313,24211,0.41,1078,image-keyboard-response,,,,"studied only, not in trial",,,,2562
100896,0EZMbPvdIY1dUFLNbHQp,,0,,,,,2,r,False,,,,f,F,3,,1728,100896,1 (1258).jpg,0.0-16.0-1.0-0.49,0,True,,0,False,,False,False,,False,False,,0,0,1,6,,,1,,,,0,,,,,images/1 (1258).jpg,,FF,,,0,0,,100896,,,finalTest,,0,0,50,21071,0.36,815,image-keyboard-response,,,,final Foil,,,,2562
100896,0IROSvARqdynUJlsYGez,,,,False,,,2,r,,,,,,T_nontarget,3,,1728,100896,1 (97).jpg,0.0-9.0-2.0-0.23,0,False,True,0,,True,True,False,False,False,False,5,5,0,,0,,,1,,,,,,,,,images/1 (97).jpg,A,A,,24,24,0,,100896,,,initial_study,0,0,0,0,13475,0.23,334,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
100896,0M715aK3tZ5DJlIntPmW,,,,False,,,2,r,,,,,,T_nontarget,3,,1728,100896,1 (1490).jpg,0.0-7.0-2.0-0.16,0,False,True,0,,True,True,False,False,False,False,3,3,0,,0,,,1,,,,,,,,,images/1 (1490).jpg,A,A,,17,17,0,,100896,,,initial_study,0,0,0,0,10976,0.19,175,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
100896,0NxDOtPP1VMibY9Oyfec,,0,,False,,,2,r,False,False,,,j,T_target,3,,1728,100896,1 (1895).jpg,0.0-6.0-10.0-0.27,0,True,True,0,False,True,True,False,True,True,False,2,2,False,,0,,,1,,,,0,,,,,images/1 (1895).jpg,B,B,,21,21,0,,100896,,,initialTest_response,28,28,0,277,10698,0.18,154,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
100896,0Q7uhaQkxvBiUFvozuJ5,,,,False,,,2,r,,,,,,T_target,3,,1728,100896,1 (1311).jpg,0.0-9.0-2.0-0.21,0,True,True,0,,True,True,False,True,True,False,5,5,0,6,0,,,1,,,,,,,,,images/1 (1311).jpg,B,B,,22,22,0,,100896,,,initial_study,1,1,0,295,13451,0.23,332,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
