HaveSeenImages,accumulated_accuracy,all_accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,failed_audio,failed_images,failed_video,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timeout,timepassed_mins,trial_document_id,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
,,,,,,2,r,,,,,,,3,[],[],[],,1308,,,0.0-0.0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,0yovcg9efvbs,,,,,,,,6814acf7a2b0960317ac048d,653694e3edfb539b2c4ada07,True,,,,,,,16419,False,0.27,2kuf87KV6DJAjOqvdVrc,0,preload,,,,,,,,1971
,,,,,,2,r,,,,,,,3,,,,,1308,653694e3edfb539b2c4ada07,,0.0-1.0,0,,,0,,,,,,,,,,,,,,,,,,,,{'Q0': '653694e3edfb539b2c4ada07'},,6412,0yovcg9efvbs,,,,,,,,6814acf7a2b0960317ac048d,653694e3edfb539b2c4ada07,,,enterid,,,,,22838,,0.38,AjGKDa7bAASlZszyoBHV,1,survey-text,,,,,,,,1971
,,,,chrome,135.0.0,2,r,,,,,,,3,,,,True,1308,653694e3edfb539b2c4ada07,,0.0-2.0,0,,,0,,,,,,,,,,,,,False,False,,Linux,,,,,,,0yovcg9efvbs,,,,,,,,6814acf7a2b0960317ac048d,653694e3edfb539b2c4ada07,,,,,,,,23824,,0.40,DLdpD5IL8VehBLjhApnp,2,browser-check,,,,,61.46,True,False,1971
,,,,,,2,r,,,,,,,3,,,,,1308,653694e3edfb539b2c4ada07,,0.0-3.0,0,,,0,,,,,,,,,,,,,,,,,,[0],,"{'consent': ""I have read and understand this information and agree to join this study. <p style='text-align: left'> Clicking to confirm, then press 'enter' to continue.</p>""}",,2503,0yovcg9efvbs,,,,,,,,6814acf7a2b0960317ac048d,653694e3edfb539b2c4ada07,,,,,,,,26330,,0.44,RFQOatI69g00H8BZNtqc,3,survey-multi-choice,,,,,,,,1971
,0.5,,False,,,2,r,False,False,,,f,T_foil,3,,,,,1200,673ccb0691efe91cd015dcf7,1 (1263).jpg,0.0-9.0-10.0-0.11,0,False,True,0,False,False,False,False,True,True,False,5,5,False,,0,,,1,,,,0,j,,871,,images/1 (1263).jpg,Fn+1,Fn,,0,0,0,,673ccb0691efe91cd015dcf7,,,initialTest_response,12,12,0,0,1321464,,22.06,01SQXn9yE9nhPGHghjOG,366,image-keyboard-response,0,1,0,"tested only, not in next trial",,,,1920
,0.8181818181818182,,False,,,2,r,True,True,,,j,T_target,3,,,,,1200,673ccb0691efe91cd015dcf7,1 (2361).jpg,0.0-11.0-10.0-0.21,0,True,True,0,False,True,True,False,True,True,False,7,7,False,,0,,,1,,,,1,j,,736,,images/1 (2361).jpg,B,B,,3,3,0,,673ccb0691efe91cd015dcf7,,,initialTest_response,22,22,0,166,1594578,,26.61,0387qH670BZyWorj6ZYe,528,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1920
,0.5888888888888894,,,,,2,r,True,False,False,,j,T_target,3,,,,,1200,673ccb0691efe91cd015dcf7,1 (1113).jpg,0.0-21.0-1.0-0.17,0,True,,0,True,,True,False,,True,True,,5,6,6,0,,,,,,,1,j,,507,,images/1 (1113).jpg,,Dn,,,3,0,,673ccb0691efe91cd015dcf7,,,finalTest,,6,6,270,2358050,,39.34,07kzkKGvxeM2TXaiYu9y,1035,image-keyboard-response,,,,"current target, in next trial",,,,1920
,0.5789473684210527,,False,,,2,r,True,True,,,j,T_target,3,,,,,1200,673ccb0691efe91cd015dcf7,1 (1650).jpg,0.0-13.0-10.0-0.18,0,False,True,0,False,True,True,False,True,True,False,9,9,False,,0,,,1,,,,1,j,,759,,images/1 (1650).jpg,B,B,,18,18,0,,673ccb0691efe91cd015dcf7,,,initialTest_response,19,19,0,0,1847868,,30.83,0A9F7iVd3Rm0Kpe6p1uB,677,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1920
,,,,,,2,r,,,,,,,3,,,,,1200,673ccb0691efe91cd015dcf7,,0.0-11.0-5.0-0.6,0,,,0,,,,,,,,7,,,,,,,,,7,,,,,,,5,,,5,,,,,673ccb0691efe91cd015dcf7,,53,digitPresentation,,,,,1563392,,26.09,0O2RFyJ5cGA4XQD3DEQK,501,html-keyboard-response,,,,,,,,1920
,,,False,,,2,r,,,,,,T_nontarget,3,,,,,1200,673ccb0691efe91cd015dcf7,1 (1914).jpg,0.0-14.0-2.0-0.26,0,False,True,0,,True,True,False,False,False,False,10,10,0,,0,,,1,,,,,,,,,images/1 (1914).jpg,A,A,,27,27,0,,673ccb0691efe91cd015dcf7,,,initial_study,0,0,0,0,1917517,,32.00,0PTuqI8tN8XWVHygQDsd,717,image-keyboard-response,1,0,0,"studied only, not in trial",,,,1920
