accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timepassed_mins,trial_document_id,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
,False,,,2,r,,,,,,T_target,3,,1306,firestorenewtest,1 (1869).jpg,0.0-5.0-2.0-0.8,1,True,True,0,,True,True,False,True,True,False,1,1,0,2,0,,,1,,,,,,,,,images/1 (1869).jpg,B,B,,9,9,0,,firestorenewtest,,,initial_study,6,6,0,91,41992,0.72,0PNJ2lweNk2DKFeO0jGb,16,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2228
,False,,,2,r,,,,,,T_target,3,,1306,firestorenewtest,1 (2070).jpg,0.0-5.0-2.0-0.15,1,True,True,0,,True,True,False,True,True,False,1,1,0,3,0,,,1,,,,,,,,,images/1 (2070).jpg,B,B,,16,16,0,,firestorenewtest,,,initial_study,29,29,0,125,63990,1.09,0bL8kgBEzau8BSKlYhN2,23,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2228
,False,,,2,r,,,,,,T_nontarget,3,,1306,firestorenewtest,1 (1511).jpg,0.0-5.0-2.0-0.5,1,True,True,0,,True,True,False,False,False,False,1,1,0,9,0,,,1,,,,,,,,,images/1 (1511).jpg,A,A,,6,6,0,,firestorenewtest,,,initial_study,0,0,0,420,32990,0.57,183c2wVCfUh56YfjGry8,13,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2228
,,,,2,r,,,,,,,3,,1728,firestorenewtest,,0.0-5.0-1.0-0.0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:60px;"">+</div>",,,,,,,,firestorenewtest,,,fixation,,,,,16831,0.30,4pcFtbDyqZsUc3bAonC0,7,html-keyboard-response,,,,,,,,3072
,False,,,2,r,,,,,,T_target,3,,1306,firestorenewtest,1 (2152).jpg,0.0-5.0-2.0-0.11,1,True,True,0,,True,True,False,True,True,False,1,1,0,7,0,,,1,,,,,,,,,images/1 (2152).jpg,B,B,,12,12,0,,firestorenewtest,,,initial_study,24,24,0,342,51989,0.89,5zwJzQpOfh9TeRmEm7j2,19,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2228
,,,,2,r,,,,,,,3,,1306,firestorenewtest,,0.0-5.0-5.0-0.0,1,,,0,,,,,,,,1,,,,,,,,,1,,,,,,,7,,,7,,,,,firestorenewtest,,52,digitPresentation,,,,,1334989,22.27,9RlnU1LhgD7qRAWQqxmn,40,html-keyboard-response,,,,,,,,2228
,False,,,2,r,,,,,,T_target,3,,1306,firestorenewtest,1 (9).jpg,0.0-5.0-2.0-0.12,1,True,True,0,,True,True,False,True,True,False,1,1,0,6,0,,,1,,,,,,,,,images/1 (9).jpg,B,B,,13,13,0,,firestorenewtest,,,initial_study,1,1,0,283,54990,0.94,9XARwqXKl7HvdDFrkngy,20,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2228
,False,,,2,r,,,,,,T_nontarget,3,,1306,firestorenewtest,1 (653).jpg,0.0-5.0-2.0-0.16,1,True,True,0,,True,True,False,False,False,False,1,1,0,9,0,,,1,,,,,,,,,images/1 (653).jpg,A,A,,17,17,0,,firestorenewtest,,,initial_study,0,0,0,444,66990,1.14,9jh3Mp02M9N2xnOqBX3w,24,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2228
,False,,,2,r,,,,,,T_nontarget,3,,1306,firestorenewtest,1 (1857).jpg,0.0-5.0-2.0-0.0,1,True,True,0,,True,True,False,False,False,False,1,1,0,3,0,,,1,,,,,,,,,images/1 (1857).jpg,A,A,,1,1,0,,firestorenewtest,,,initial_study,0,0,0,143,18836,0.34,Ae4meIylMd4gSCO4MjCt,8,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2228
,,,,2,r,,,,,,,3,,1306,firestorenewtest,,0.0-5.0-5.0-0.7,1,,,0,,,,,,,,1,,,,,,,,,8,,,,,,,5,,,5,,,,,firestorenewtest,,52,digitPresentation,,,,,1570990,26.21,Beo7i2wtS9gSYKILlbih,47,html-keyboard-response,,,,,,,,2228
